"","name"
"1","HarvardUniversity"
"2","NorthwesternUniversity"
"3","UniversityofMiami"
"4","WashingtonStateUniversity"
"5","BrandeisUniversity"
"6","ColgateUniversity"
"7","SantaClaraUniversity"
"8","UniversityofUtah"
"9","UniversityofPennsylvania"
"10","OberlinCollege"
"11","LafayetteCollege"
"12","PepperdineUniversity"
"13","BrynMawrCollege"
"14","HamiltonCollege"
"15","CarletonCollege"
"16","MacalesterCollege"
"17","UniversityofNotreDame"
"18","DenisonUniversity"
"19","WesleyanUniversity"
"20","RochesterInstituteofTechnology"
"21","BucknellUniversity"
"22","ColbyCollege"
"23","UniversityofChicago"
"24","LomaLindaUniversity"
"25","CollegeoftheHolyCross"
"26","MountHolyokeCollege"
"27","RensselaerPolytechnicInstitute"
"28","NortheasternUniversity"
"29","ClaremontMcKennaCollege"
"30","ColoradoCollege"
"31","FurmanUniversity"
"32","FordhamUniversity"
"33","DrexelUniversity"
"34","DavidsonCollege"
"35","DePauwUniversity"
"36","DukeUniversity"
"37","ReedCollege"
"38","EmoryUniversity"
"39","TrinityCollege"
"40","MarquetteUniversity"
"41","NationalUniversity"
"42","WashingtonUniversityinStLouis"
"43","WhitmanCollege"
"44","UniversityofDayton"
"45","HaverfordCollege"
"46","VillanovaUniversity"
"47","CornellUniversity"
"48","UniversityofStThomas"
"49","UniversityofStThomas"
"50","UniversityofSanDiego"
"51","LoyolaMarymountUniversity"
"52","WorcesterPolytechnicInstitute"
"53","DePaulUniversity"
"54","MiamiDadeCollege"
"55","CollegeoftheOzarks"
"56","StOlafCollege"
"57","ClarkUniversity"
"58","OccidentalCollege"
"59","DickinsonCollege"
"60","YaleUniversity"
"61","RiceUniversity"
"62","CreightonUniversity"
"63","UnionCollege"
"64","UnionCollege"
"65","UnionCollege"
"66","WheatonCollege"
"67","WheatonCollege"
"68","EarlhamCollege"
"69","WabashCollege"
"70","HofstraUniversity"
"71","UniversityofSouthernCalifornia"
"72","RollinsCollege"
"73","UniversityofthePacific"
"74","SpelmanCollege"
"75","TempleUniversity"
"76","AbileneChristianUniversity"
"77","DartmouthCollege"
"78","QuinnipiacUniversity"
"79","RhodeIslandSchoolofDesign"
"80","SkidmoreCollege"
"81","RhodesCollege"
"82","VanderbiltUniversity"
"83","ScrippsCollege"
"84","LoyolaUniversityNewOrleans"
"85","BerkleeCollegeofMusic"
"86","UniversityofPugetSound"
"87","WayneStateUniversity"
"88","BabsonCollege"
"89","FairfieldUniversity"
"90","BradleyUniversity"
"91","HamptonUniversity"
"92","SouthwesternUniversity"
"93","GettysburgCollege"
"94","StLawrenceUniversity"
"95","AgnesScottCollege"
"96","JohnsHopkinsUniversity"
"97","BarnardCollege"
"98","IthacaCollege"
"99","UtahStateUniversity"
"100","HarveyMuddCollege"
"101","SetonHallUniversity"
"102","UniversityofSanFrancisco"
"103","ConnecticutCollege"
"104","BatesCollege"
"105","CentreCollege"
"106","ChapmanUniversity"
"107","UniversityofMemphis"
"108","BentleyUniversity"
"109","WillametteUniversity"
"110","TheNewSchool"
"111","LawrenceUniversity"
"112","IllinoisWesleyanUniversity"
"113","DuquesneUniversity"
"114","NewYorkUniversity"
"115","DrewUniversity"
"116","PhiladelphiaCollegeofOsteopathicMedicine"
"117","MuhlenbergCollege"
"118","GoucherCollege"
"119","KenyonCollege"
"120","IllinoisInstituteofTechnology"
"121","KalamazooCollege"
"122","OhioWesleyanUniversity"
"123","WashingtonCollege"
"124","JohnCarrollUniversity"
"125","OldDominionUniversity"
"126","BrownUniversity"
"127","ValparaisoUniversity"
"128","ColumbiaTheologicalSeminary"
"129","WheatonCollege"
"130","WheatonCollege"
"131","MillsCollege"
"132","HendrixCollege"
"133","SimmonsCollege"
"134","ClaremontGraduateUniversity"
"135","LesleyUniversity"
"136","ClarksonUniversity"
"137","RegentUniversity"
"138","DrakeUniversity"
"139","OhioNorthernUniversity"
"140","LycomingCollege"
"141","AlbionCollege"
"142","WoffordCollege"
"143","ButlerUniversity"
"144","HollinsUniversity"
"145","SuffolkUniversity"
"146","HopeCollege"
"147","AlleghenyCollege"
"148","UniversityofSouthAlabama"
"149","SanDiegoStateUniversity"
"150","ElonUniversity"
"151","BryantUniversity"
"152","StevensInstituteofTechnology"
"153","SaintJohnsUniversity"
"154","UniversityofRichmond"
"155","UniversityofNorthCarolinaatCharlotte"
"156","TransylvaniaUniversity"
"157","UniversityofScranton"
"158","EastCarolinaUniversity"
"159","IllinoisCollege"
"160","TexasStateUniversity"
"161","GonzagaUniversity"
"162","HanoverCollege"
"163","RandolphCollege"
"164","WilliamsCollege"
"165","AsburyTheologicalSeminary"
"166","XavierUniversity"
"167","BeloitCollege"
"168","SusquehannaUniversity"
"169","StLouisCollegeofPharmacy"
"170","LutherCollege"
"171","LeMoyneCollege"
"172","MessiahCollege"
"173","UniversityofHartford"
"174","MeharryMedicalCollege"
"175","AustinCollege"
"176","BaldwinWallaceUniversity"
"177","CaliforniaInstituteofTechnology"
"178","UniversityofMountUnion"
"179","GustavusAdolphusCollege"
"180","UniversityofNorthTexas"
"181","BuenaVistaUniversity"
"182","LindenwoodUniversity"
"183","AmherstCollege"
"184","RoanokeCollege"
"185","PitzerCollege"
"186","UniversityofPortland"
"187","CaliforniaInstituteoftheArts"
"188","CulinaryInstituteofAmerica"
"189","StanfordUniversity"
"190","PomonaCollege"
"191","UrsinusCollege"
"192","MillikinUniversity"
"193","UniversityofRedlands"
"194","MillsapsCollege"
"195","UniversityoftheIncarnateWord"
"196","ColumbiaCollege"
"197","ColumbiaCollege"
"198","ColumbiaCollege"
"199","ColumbiaCollege"
"200","ColumbiaCollege"
"201","WhitworthUniversity"
"202","BostonCollege"
"203","AustinPresbyterianTheologicalSeminary"
"204","WebsterUniversity"
"205","NorthernArizonaUniversity"
"206","SaintAnselmCollege"
"207","EastTennesseeStateUniversity"
"208","MercyCollege"
"209","AlmaCollege"
"210","GoshenCollege"
"211","WestminsterCollege"
"212","WestminsterCollege"
"213","WestminsterCollege"
"214","SanJoseStateUniversity"
"215","McDanielCollege"
"216","KnoxCollege"
"217","MoravianCollege"
"218","ChristianTheologicalSeminary"
"219","WeberStateUniversity"
"220","NorthCentralCollege"
"221","CotteyCollege"
"222","AlfredUniversity"
"223","JuniataCollege"
"224","BiolaUniversity"
"225","OuachitaBaptistUniversity"
"226","UniversityofRochester"
"227","WittenbergUniversity"
"228","AssumptionCollege"
"229","CentralMichiganUniversity"
"230","UniversityoftheOzarks"
"231","BelmontUniversity"
"232","PresbyterianCollege"
"233","WhittierCollege"
"234","SouthDakotaStateUniversity"
"235","SweetBriarCollege"
"236","QueensUniversityofCharlotte"
"237","GrandValleyStateUniversity"
"238","MonmouthCollege"
"239","CoeCollege"
"240","JohnBrownUniversity"
"241","CaseWesternReserveUniversity"
"242","OklahomaCityUniversity"
"243","MichiganTechnologicalUniversity"
"244","NewJerseyInstituteofTechnology"
"245","TexasLutheranUniversity"
"246","FranklinCollege"
"247","MichiganStateUniversity"
"248","WentworthInstituteofTechnology"
"249","WentworthInstituteofTechnology"
"250","WentworthInstituteofTechnology"
"251","WentworthInstituteofTechnology"
"252","McCormickTheologicalSeminary"
"253","UniversityofIndianapolis"
"254","LaSalleUniversity"
"255","UniversityofEvansville"
"256","NiagaraUniversity"
"257","LouisvillePresbyterianTheologicalSeminary"
"258","LynchburgCollege"
"259","MeredithCollege"
"260","SwarthmoreCollege"
"261","DruryUniversity"
"262","RooseveltUniversity"
"263","RogerWilliamsUniversity"
"264","PacificLutheranUniversity"
"265","WestmontCollege"
"266","LakeForestCollege"
"267","UniversityofDubuque"
"268","FranklinUniversity"
"269","SimpsonCollege"
"270","WagnerCollege"
"271","MiddleTennesseeStateUniversity"
"272","SarahLawrenceCollege"
"273","ChathamUniversity"
"274","PrincetonUniversity"
"275","SmithCollege"
"276","BriteDivinitySchool"
"277","UniversityofStThomas"
"278","UniversityofStThomas"
"279","UniversityofNorthCarolinaWilmington"
"280","IndianaInstituteofTechnology"
"281","TaylorUniversity"
"282","EmmanuelCollege"
"283","EmmanuelCollege"
"284","GuilfordCollege"
"285","GrinnellCollege"
"286","PalmBeachAtlanticUniversity"
"287","MarylandInstituteCollegeofArt"
"288","RiponCollege"
"289","LutherSeminary"
"290","IonaCollege"
"291","KetteringUniversity"
"292","WellesleyCollege"
"293","WilsonCollege"
"294","CentralCollege"
"295","StFrancisCollege"
"296","BridgewaterCollege"
"297","HoodCollege"
"298","MariettaCollege"
"299","ConverseCollege"
"300","McMurryUniversity"
"301","CornellCollege"
"302","NewYorkMedicalCollege"
"303","MonmouthUniversity"
"304","TuftsUniversity"
"305","CapitalUniversity"
"306","MuskingumUniversity"
"307","CarthageCollege"
"308","FloridaSouthernCollege"
"309","ManhattanCollege"
"310","AugustanaCollege"
"311","HartwickCollege"
"312","WestminsterCollege"
"313","WestminsterCollege"
"314","WestminsterCollege"
"315","SeattlePacificUniversity"
"316","ElizabethtownCollege"
"317","OaklandUniversity"
"318","HiramCollege"
"319","WarrenWilsonCollege"
"320","LipscombUniversity"
"321","CarnegieMellonUniversity"
"322","NazarethCollege"
"323","OklahomaChristianUniversity"
"324","MurrayStateUniversity"
"325","CaliforniaLutheranUniversity"
"326","ArcadiaUniversity"
"327","MaryvilleCollege"
"328","AlbrightCollege"
"329","BostonUniversity"
"330","RiderUniversity"
"331","SchreinerUniversity"
"332","WesternCarolinaUniversity"
"333","PacificUniversity"
"334","ShenandoahUniversity"
"335","DeSalesUniversity"
"336","FloridaInstituteofTechnology"
"337","LaGrangeCollege"
"338","StBonaventureUniversity"
"339","WashingtonandLeeUniversity"
"340","SpringfieldCollege"
"341","VirginiaWesleyanCollege"
"342","ParkUniversity"
"343","EndicottCollege"
"344","HowardPayneUniversity"
"345","SalveReginaUniversity"
"346","MassachusettsInstituteofTechnology"
"347","NebraskaWesleyanUniversity"
"348","EckerdCollege"
"349","CollegeofSaintBenedict"
"350","UniversityofLaVerne"
"351","ManchesterUniversity"
"352","GannonUniversity"
"353","WheelockCollege"
"354","WilkesUniversity"
"355","CarrollUniversity"
"356","LewisUniversity"
"357","GeorgianCourtUniversity"
"358","BellarmineUniversity"
"359","NewYorkChiropracticCollege"
"360","FriendsUniversity"
"361","MoodyBibleInstitute"
"362","NorthwesternCollege"
"363","MorningsideCollege"
"364","FerrumCollege"
"365","HighPointUniversity"
"366","HoughtonCollege"
"367","WesternNewEnglandUniversity"
"368","TexasSouthernUniversity"
"369","GeorgetownUniversity"
"370","UniversityofMaryWashington"
"371","HartfordSeminary"
"372","MarywoodUniversity"
"373","AsburyUniversity"
"374","SouthernMethodistUniversity"
"375","SaintFrancisUniversity"
"376","RockhurstUniversity"
"377","WilliamPeaceUniversity"
"378","LyonCollege"
"379","JacksonvilleUniversity"
"380","ClevelandInstituteofMusic"
"381","CokerCollege"
"382","FloridaStateCollegeatJacksonville"
"383","SanFranciscoConservatoryofMusic"
"384","AugsburgCollege"
"385","ViterboUniversity"
"386","MaryBaldwinCollege"
"387","TexasChristianUniversity"
"388","UniversityofWyoming"
"389","HeidelbergUniversity"
"390","RinglingCollegeofArtandDesign"
"391","NotreDameofMarylandUniversity"
"392","McPhersonCollege"
"393","BrenauUniversity"
"394","ClarkeUniversity"
"395","UniversityofNorthCarolinaatAsheville"
"396","MadonnaUniversity"
"397","MarymountUniversity"
"398","RivierUniversity"
"399","HampshireCollege"
"400","BarryUniversity"
"401","LamarUniversity"
"402","YeshivaUniversity"
"403","MisericordiaUniversity"
"404","UniversityofJamestown"
"405","NationalLouisUniversity"
"406","CarrollCollege"
"407","KentuckyWesleyanCollege"
"408","GraduateTheologicalUnion"
"409","UniversityofDelaware"
"410","CazenoviaCollege"
"411","ParkerUniversity"
"412","McKendreeUniversity"
"413","RobertMorrisUniversity"
"414","MercyhurstUniversity"
"415","VirginiaStateUniversity"
"416","CovenantCollege"
"417","DominicanUniversity"
"418","LehighUniversity"
"419","AverettUniversity"
"420","OhioDominicanUniversity"
"421","ThunderbirdSchoolofGlobalManagement"
"422","PhiladelphiaUniversity"
"423","NeumannUniversity"
"424","WilliamMitchellCollegeofLaw"
"425","CedarvilleUniversity"
"426","MountAloysiusCollege"
"427","NorthlandCollege"
"428","MountMercyUniversity"
"429","LorasCollege"
"430","RockyMountainCollege"
"431","OlivetNazareneUniversity"
"432","UniversityofSaintJoseph"
"433","HuntingtonUniversity"
"434","WakeForestUniversity"
"435","EasternMennoniteUniversity"
"436","AlvernoCollege"
"437","TreveccaNazareneUniversity"
"438","PacificUnionCollege"
"439","UticaCollege"
"440","BaylorUniversity"
"441","UniversityofRioGrande"
"442","CedarCrestCollege"
"443","StThomasUniversity"
"444","MarshallBKetchumUniversity"
"445","PeirceCollege"
"446","WallaWallaUniversity"
"447","RobertsWesleyanCollege"
"448","CollegeofSaintElizabeth"
"449","SpartanburgMethodistCollege"
"450","GrandViewUniversity"
"451","FitchburgStateUniversity"
"452","FayettevilleStateUniversity"
"453","RegisCollege"
"454","SyracuseUniversity"
"455","DefianceCollege"
"456","DeltaCollege"
"457","PacificNorthwestCollegeofArt"
"458","HussonUniversity"
"459","RamapoCollegeofNewJersey"
"460","NorthernMichiganUniversity"
"461","ThomasCollege"
"462","MetropolitanCollegeofNewYork"
"463","SpaldingUniversity"
"464","KalamazooValleyCommunityCollege"
"465","MountIdaCollege"
"466","WesternUniversityofHealthSciences"
"467","HolyNamesUniversity"
"468","KeukaCollege"
"469","ChaminadeUniversityofHonolulu"
"470","BowdoinCollege"
"471","SpringArborUniversity"
"472","PacificLutheranTheologicalSeminary"
"473","OlivetCollege"
"474","HesstonCollege"
"475","BostonArchitecturalCollege"
"476","BereaCollege"
"477","FloridaMemorialUniversity"
"478","NewEnglandCollege"
"479","DenverSeminary"
"480","NortheastStateCommunityCollege"
"481","TrinityUniversity"
"482","KeystoneCollege"
"483","SoutheasternUniversity"
"484","CollegeofStJoseph"
"485","UniversityofKentucky"
"486","CentenaryCollege"
"487","LakelandCommunityCollege"
"488","TexasCollege"
"489","LaboureCollege"
"490","GeorgiaPerimeterCollege"
"491","SouthernVirginiaUniversity"
"492","MiddleburyCollege"
"493","SaintLouisUniversity"
"494","PrincetonTheologicalSeminary"
"495","UniversityofTulsa"
"496","BaylorCollegeofMedicine"
"497","VassarCollege"
